"id","status","status_detail","build_country","build_year","flag_name","dead_weight","vessel_type"
118664,Active,In Service/Commission,China,2023,Hong Kong,49110,Chemical/Oil Products Tanker
75878,Active,In Service/Commission,South Korea,2007,Marshall Islands,37320,Crude/Oil Products Tanker
86228,Active,In Service/Commission,China,2011,Indonesia,29756,Products Tanker 
118527,Active,In Service/Commission,South Korea,2023,Singapore,49875,Products Tanker 
75264,Active,In Service/Commission,South Korea,2006,Liberia,37311,Crude/Oil Products Tanker
89047,Active,In Service/Commission,South Korea,2012,Marshall Islands,74588,Crude/Oil Products Tanker
72796,Active,In Service/Commission,South Korea,2004,Palau,51319,Products Tanker 
88262,Active,In Service/Commission,Japan,2012,Panama,45945,Products Tanker 
89605,Active,In Service/Commission,South Korea,2012,Marshall Islands,159058,Crude/Oil Products Tanker
120837,Active,In Service/Commission,China,2022,China,13681,Chemical/Oil Products Tanker
74262,Active,In Service/Commission,South Korea,2005,Liberia,106094,Crude/Oil Products Tanker
88308,Active,In Service/Commission,China,2009,China,13369,Crude/Oil Products Tanker
89049,Active,In Service/Commission,South Korea,2012,Marshall Islands,74565,Crude/Oil Products Tanker
95238,Active,In Service/Commission,South Korea,2014,Marshall Islands,109999,Products Tanker 
120835,Active,In Service/Commission,Japan,2022,Panama,8999,Chemical/Oil Products Tanker
99131,Active,In Service/Commission,South Korea,2016,Hong Kong,49999,Crude/Oil Products Tanker
94946,Active,In Service/Commission,South Korea,2014,Liberia,49990,Crude/Oil Products Tanker
120834,Active,In Service/Commission,China,2022,Cyprus,4070,Chemical/Oil Products Tanker
119891,Active,In Service/Commission,Japan,2023,Liberia,21000,Chemical/Oil Products Tanker
69084,Active,In Service/Commission,South Korea,2000,Panama,44954,Crude/Oil Products Tanker
105916,Active,In Service/Commission,South Korea,2021,Marshall Islands,318000,Crude Oil Tanker
118463,Active,In Service/Commission,Vietnam,2023,Marshall Islands,50113,Products Tanker 
119082,Active,In Service/Commission,Vietnam,2023,Singapore,49999,Products Tanker 
120683,Active,In Service/Commission,China,2023,Singapore,49496,Products Tanker 
90009,Active,In Service/Commission,China,2010,China,17962,Crude/Oil Products Tanker
72390,Active,In Service/Commission,China,2004,Antigua and Barbuda,73495,Crude/Oil Products Tanker
76066,Active,In Service/Commission,South Korea,2008,Malta,51371,Crude/Oil Products Tanker
73196,Active,In Service/Commission,Japan,2004,Palau,45898,Products Tanker 
119722,Active,In Service/Commission,China,2023,Iraq,30839,Products Tanker 
95468,Active,In Service/Commission,South Korea,2015,Panama,49997,Crude/Oil Products Tanker
72242,Active,In Service/Commission,Japan,2004,Liberia,70426,Crude/Oil Products Tanker
89519,Active,In Service/Commission,Germany,2011,Russian Federation,18902,Crude/Oil Products Tanker
106080,Active,In Service/Commission,South Korea,2021,Marshall Islands,157632,Crude Oil Tanker
80293,Active,In Service/Commission,China,2008,Hong Kong,45841,Products Tanker 
82171,Active,In Service/Commission,Japan,2009,Gabon,309960,Crude Oil Tanker
116998,Active,In Service/Commission,,2011,Thailand,1310,Asphalt/Bitumen Tanker
114374,Active,In Service/Commission,Turkey,2005,Portugal,6968,Chemical/Oil Products Tanker
119141,Active,In Service/Commission,South Korea,2023,Malta,115322,Products Tanker 
96080,Active,In Service/Commission,South Korea,2015,Marshall Islands,49990,Crude/Oil Products Tanker
78859,Active,In Service/Commission,China,2010,Liberia,297580,Crude Oil Tanker
89173,Active,In Service/Commission,South Korea,2013,Liberia,149999,Crude/Oil Products Tanker
74394,Active,In Service/Commission,China,2006,Sweden,17655,Crude/Oil Products Tanker
116730,Active,In Service/Commission,China,2008,Panama,4923,Asphalt/Bitumen Tanker
64697,Active,In Service/Commission,South Korea,1993,Comoros,46851,Crude/Oil Products Tanker
74412,Active,In Service/Commission,Japan,2005,Djibouti,299998,Crude Oil Tanker
74704,Active,In Service/Commission,China,2007,Indonesia,109672,Crude/Oil Products Tanker
100752,Active,In Service/Commission,Japan,2017,Cayman Islands,12342,Crude/Oil Products Tanker
81697,Active,In Service/Commission,South Korea,2010,Singapore,119456,Products Tanker 
74522,Active,In Service/Commission,China,2005,China,75447,Crude/Oil Products Tanker
69104,Active,In Service/Commission,South Korea,2001,Palau,153019,Crude/Oil Products Tanker
78701,Active,In Service/Commission,South Korea,2009,Malta,115760,Products Tanker 
96608,Active,In Service/Commission,South Korea,2015,Denmark,49757,Crude/Oil Products Tanker
68351,Active,In Service/Commission,Japan,1998,Liberia,74025,Crude/Oil Products Tanker
78434,Active,In Service/Commission,South Korea,2006,India,46159,Chemical/Oil Products Tanker
71382,Active,In Service/Commission,South Korea,2002,Liberia,40218,Chemical/Oil Products Tanker
68010,Active,In Service/Commission,South Korea,1999,Guyana,159539,Crude/Oil Products Tanker
92101,Active,In Service/Commission,China,2012,China,30032,Products Tanker 
92567,Active,In Service/Commission,South Korea,2012,Liberia,49990,Crude/Oil Products Tanker
72424,Active,In Service/Commission,Japan,2004,India,47999,Crude Oil Tanker
71776,Active,In Service/Commission,South Korea,2003,Panama,158553,Crude/Oil Products Tanker
89013,Active,In Service/Commission,China,2012,Panama,18041,Crude/Oil Products Tanker
92977,Active,In Service/Commission,South Korea,2013,Bahamas,153684,Crude/Oil Products Tanker
116691,Active,In Service/Commission,Japan,1990,Cook Islands,1255,Asphalt/Bitumen Tanker
102847,Active,In Service/Commission,South Korea,2020,Portugal,17000,Chemical Tanker
79653,Active,In Service/Commission,South Korea,2007,Panama,13068,Crude/Oil Products Tanker
93247,Active,In Service/Commission,South Korea,2013,Mexico,50125,Crude/Oil Products Tanker
93855,Active,In Service/Commission,China,2012,China,30052,Products Tanker 
78424,Active,In Service/Commission,South Korea,2008,Liberia,47134,Chemical/Oil Products Tanker
78971,Active,In Service/Commission,South Korea,2009,Saudi Arabia,319411,Crude Oil Tanker
114836,Active,In Service/Commission,Japan,2004,Viet Nam,6534,Chemical/Oil Products Tanker
72992,Active,In Service/Commission,South Korea,2005,India,51383,Products Tanker 
97172,Active,In Service/Commission,South Korea,2015,Marshall Islands,37596,Chemical/Oil Products Tanker
73780,Active,In Service/Commission,South Korea,2005,Panama,49964,Crude Oil Tanker
74882,Active,In Service/Commission,China,2006,Liberia,72247,Crude/Oil Products Tanker
97104,Active,In Service/Commission,China,2017,United Kingdom,32836,Chemical/Oil Products Tanker
95360,Active,In Service/Commission,South Korea,2015,Turkey,105171,Crude/Oil Products Tanker
118428,Active,In Service/Commission,South Korea,2023,Greece,114545,Products Tanker 
74840,Active,In Service/Commission,China,2005,Sweden,19999,Crude/Oil Products Tanker
97164,Active,In Service/Commission,South Korea,2016,Marshall Islands,109999,Crude/Oil Products Tanker
117280,Active,In Service/Commission,,2012,,4352,Asphalt/Bitumen Tanker
75280,Active,In Service/Commission,South Korea,2006,Gabon,39378,Chemical/Oil Products Tanker
102855,Active,In Service/Commission,South Korea,2018,Italy,49999,Crude/Oil Products Tanker
83078,Active,In Service/Commission,Brazil,2015,Brazil,156548,Crude/Oil Products Tanker
76300,Active,In Service/Commission,South Korea,2006,Marshall Islands,104864,Crude/Oil Products Tanker
105145,Active,In Service/Commission,South Korea,2020,Liberia,299700,Crude Oil Tanker
83082,Active,In Service/Commission,Brazil,2016,Brazil,156799,Crude/Oil Products Tanker
104591,Active,In Service/Commission,South Korea,2019,United States of America,50332,Products Tanker 
77598,Active,In Service/Commission,South Korea,2006,Marshall Islands,51224,Crude/Oil Products Tanker
75780,Active,In Service/Commission,China,2007,Portugal,16565,Crude/Oil Products Tanker
72650,Active,In Service/Commission,China,2004,Libya,34656,Products Tanker 
64245,Active,In Service/Commission,,1990,United States of America,14220,Crude/Oil Products Tanker
73062,Active,In Service/Commission,China,2004,China,109411,Crude/Oil Products Tanker
71892,Active,In Service/Commission,Japan,2003,Liberia,105611,Crude/Oil Products Tanker
118263,Active,In Service/Commission,China,2023,Liberia,49355,Products Tanker 
78765,Active,In Service/Commission,South Korea,2007,Hong Kong,46938,Chemical/Oil Products Tanker
86088,Active,In Service/Commission,South Korea,2013,Liberia,114900,Products Tanker 
79691,Active,In Service/Commission,South Korea,2008,Malta,51268,Crude/Oil Products Tanker
72676,Active,In Service/Commission,South Korea,2004,Argentina,69636,Crude/Oil Products Tanker
83086,Active,In Service/Commission,Brazil,2017,Brazil,157055,Crude Oil Tanker
98220,Active,In Service/Commission,South Korea,2016,Belgium,299011,Crude Oil Tanker
64497,Active,In Service/Commission,United Kingdom,1996,"Tanzania, United Republic of",146273,Crude/Oil Products Tanker
116988,Active,In Service/Commission,,1996,Malaysia,1486,Asphalt/Bitumen Tanker
74914,Active,In Service/Commission,Croatia,2005,Panama,47197,Chemical/Oil Products Tanker
88606,Active,In Service/Commission,United States of America,2013,United States of America,46696,Crude/Oil Products Tanker
98248,Active,In Service/Commission,South Korea,2017,Marshall Islands,49709,Crude/Oil Products Tanker
72104,Active,In Service/Commission,China,2003,Panama,299079,Crude Oil Tanker
96224,Active,In Service/Commission,South Korea,2015,Marshall Islands,50135,Crude/Oil Products Tanker
72414,Active,In Service/Commission,South Korea,2003,Panama,115605,Crude/Oil Products Tanker
72832,Active,In Service/Commission,Japan,2004,Norway,33573,Chemical/Oil Products Tanker
68697,Active,In Service/Commission,Japan,1999,San Marino,106131,Crude/Oil Products Tanker
102264,Active,In Service/Commission,China,2017,Liberia,11999,Crude/Oil Products Tanker
100131,Active,In Service/Commission,South Korea,2017,Malta,155723,Crude/Oil Products Tanker
72726,Active,In Service/Commission,South Korea,2004,Greece,103755,Crude/Oil Products Tanker
73056,Active,In Service/Commission,South Korea,2004,Antigua and Barbuda,72514,Crude/Oil Products Tanker
103498,Active,In Service/Commission,China,2020,Liberia,48000,Products Tanker 
115040,Active,In Service/Commission,Turkey,2005,Morocco,6890,Chemical/Oil Products Tanker
